30440	crash on valid c++ code on x86_64-linux-gnu with -std=c++14 (void {anonymous}::CXXNameMangler::mangleFunctionParam(const clang::ParmVarDecl*): Assertion `parmDepth < FunctionTypeDepth.getDepth()' failed.)
28264	[codeview] Symbol records larger than 64KB need to be truncated or otherwise handled
26276	Some invalid fold expressions incorrectly accepted
30336	Front end crash while compiling file
30831	Parser segmentation fault
30844	Using override on a overridden destructor produces an error
30873	Merge r281286 into the 3.9 branch
28366	crash
30536	building clang 4.0 by itself failed
31050	False positive warning of -Waddress-of-packed-member
29087	"Assertion `isa<X>(Val) && ""cast<Ty>() argument of incompatible type!""' failed from EvaluateUnaryTypeTrait in lib/Sema/SemaExprCXX.cpp"
31174	Merge r287999 into 3.9.x branch
31210	builtin recognition needs to cope with exception specification mismatches in c++1z
31244	Calling a noexcept function pointer is not noexcept.
26970	clang 3.8.0 for powerpc64 vs. FreeBSD buildworld: error: invalid float ABI 'soft float is not supported for ppc64'
30944	Different behaviour for simple hello-World program in -std=c++14 resp -std=c++1z
27132	Need MSVC manging for __unaligned qualifiers
30586	Clang-cl Friend class error: elaborated type refers to a type alias
28795	clang cannot compile lambda functions that are defined in template functions and have default arguments
30566	clang asserts when compiling lambda with a initialized capture
31390	segfault on build with -std=c++1z
31429	Clang crashes compiling simple hello world code
31441	Ternary operator w/implicit conversion doesn't like const/non-const mismatches in C++1z
30361	clang segfaults when compiling template member function that calls destructor
31447	Assertion failed when compiling declaration of vfprintf in -std=c++1z mode
30974	Segmentation fault
30306	"clang crashes on valid C++ code: Assertion `!Cleanup.exprNeedsCleanups() && ""Unaccounted cleanups in function""' failed"
31297	[[deprecated]] warning doesn't work on templates
30636	an impossible case for -Wimplicit-fallthrough and [[clang::fallthrough]]
28425	Compile failure with enum and ternary operator
28676	-Wshadow doesn't warn on shadowed 'using' statements. Gcc does.
27037	CV qualifier check is unexpectedly skipped on a method pointer call
28105	"clang crashes on C++ code with invalid default argument for constructor: Assertion `Val && ""isa<> used on a null pointer""' failed"
30305	Inheriting constructors import special members -- Causes runtime slicing
26962	Default template arguments and friend declarations don't mix
27027	Block scope operator function ignored by lookup for infix notation
31504	REGRESSION: Including <float.h> causes build failures on darwin when darwin's /usr/include/float.h is present (pre-Lion)
27244	clang C++ error passing an std::function to std::stable_sort with --std=c++14
28460	Wdelete-non-virtual-dtor doesn't work with std::unique_ptr
31405	Itanium ABI: debug assertion in template mangling with declype return
27085	scalar/vector operations lead to division by zero
29134	clang-cl doesn't consider __assume() when emitting [-Wreturn-type] warnings
28337	Static constexpr arrays can not be dereferenced when declared inside class template.
30595	extraneous const qualifier allowed in malformed conversion function
26134	VarDecl::checkInitIsIce() !Init->isValueDependent Assertion failure
28250	clang-cl does not consider __m128 to be a struct type
27468	Incorrect value for __cpp_range_based_for with -std=c++1z
30592	void() incorrectly rejected as non-constant expression
30723	"false positive for ""-Wzero-length-array"""
31222	Produce warning when a derived class shadows a field of the base class with `-Wshadow`
26048	Missing diagnostic for overloaded names in anonymous unions
29097	[PCH/Modules] missing update records for default member initializers
30559	clang crashes on valid C++11 code: Assertion `ParamIter != FD->param_end()' failed
26182	Associated namespaces of local classes in ADL
28039	Local classes must have an associated namespace since C++14
26086	Unused arguments of alias template used in default template arguments are not checked
27427	Segmentation fault during semantic analysis of a nested class that inherits from a template type parameter
29122	"constexpr auto causes Assertion failed: (!V->hasBrokenDebugInfo() && ""Module contains invalid debug info""), function doFinalization, file /Users/thakis/src/llvm-rw/lib/IR/Verifier.cpp, line 4435."
28258	"clang crashes with -std=c++11 on code invoking a deleted default constructor: Assertion `(data().DefaultedMoveConstructorIsDeleted || needsOverloadResolutionForMoveConstructor()) && ""move constructor should not be deleted""' failed"
31201	Implement -Wint-in-bool-context
25992	Cannot call std::string::~string explicitly
28598	Assigning a gsl::span<const int> to a gsl::span<int> const causes segmentation fault during compilation.
30441	Different symbols export with g++ and clang
28184	"clang crashes on valid C++ code having ternary expression with throw: Assertion `getOperand(0)->getType() == cast<PointerType>(getOperand(1)->getType())->getElementType() && ""Ptr must be a pointer to Val type!""' failed"
27457	"Possible regression: ""invalid explicitly-specified argument"" on enum value as template parameter"
26249	Poor diagnostic when anonymous enum with underlying type is declared in a struct and the underlying type isn't known
28064	"clang crashes on valid C++11 code: Assertion `isa<LabelDecl>(D) && ""declaration not instantiated in this scope""' failed"
30738	two-phase name lookup not implemented for fold-expressions
27637	creating object of abstract class allowed in all versions of clang++
28263	'conversion function will never be used' for a virtual casting operator
26457	In std=g++11, conversion using P::operator const std::string fails
26769	Template template parameter in member initializer list is not recognized
27147	Clang++ incorrectly treats T::T as T
27746	Dependent template name not recognized as dependent
27918	Incomplete initializer when using metafunction in trailing return type
28050	Deprecated (legacy) string literal conversion to 'char *' causes strange overloading resolution
28811	nullptr conversion to bool should not be true
30479	alignas and packed attribute not obeyed
30518	Parameter pack expansion doesn't work properly when used to define argument list
