Commit:	0a84634
./gcc/cp/call.cc	3615,3615
./libstdc++-v3/testsuite/20_util/pair/cons/explicit_construct.cc	40,40
./libstdc++-v3/testsuite/20_util/pair/cons/explicit_construct.cc	55,55
./libstdc++-v3/testsuite/20_util/pair/cons/explicit_construct.cc	102,102
./libstdc++-v3/testsuite/20_util/pair/cons/explicit_construct.cc	133,133
./libstdc++-v3/testsuite/20_util/pair/cons/explicit_construct.cc	135,135
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	48,48
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	50,50
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	52,52
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	76,76
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	78,78
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	80,80
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	82,82
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	85,85
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	87,87
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	91,91
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	106,108
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	199,199
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	201,201
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	203,203
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	221,221
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	235,235
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	239,240
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	245,246
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	298,300
./libstdc++-v3/testsuite/20_util/tuple/cons/explicit_construct.cc	333,336
