70272	2015-02-12
79077	2016-02-25
79118	2014-10-15
79290	2013-05-09
79308	2006-06-16
79377	2015-12-15
100054	2020-05-01
100138	2020-03-24
100205	2018-11-12
100209	2014-10-15
100374	2020-05-11
100474	2015-08-07
100489	2021-01-22
100493	2020-05-13
100502	2021-01-19
100517	2019-12-04
100592	2006-08-25
100752	2003-01-06
100797	2020-06-03
100838	2008-04-17
100983	2016-10-04
101040	2021-01-24
101073	2014-10-15
101098	2020-05-13
101181	2020-09-17
101194	2020-02-04
102670	2013-03-22
103081	2003-07-29
103177	1999-03-05
103337	2005-07-20
103341	2017-02-09
103346	2018-11-05
103455	2008-03-21
103678	2002-12-28
103703	2020-03-27
103769	2021-05-18
103783	2019-11-19
103991	2021-11-25
104031	2020-03-05
104108	2020-01-28
104173	2003-01-13
104182	2022-01-17
104235	2022-01-18
104300	2020-03-05
104432	2021-12-20
104476	2021-04-07
104527	2019-10-09
104641	2006-08-25
104846	2016-10-04
105035	2020-11-19
105110	2017-06-16
105265	2008-04-17
105518	2022-01-25
105589	2010-08-19
105623	2005-12-23
105734	2020-04-28
105761	2020-10-14
105842	2021-04-08
105925	2019-03-02
106304	2019-12-29
106366	2017-07-13
106882	2020-07-21
106925	2022-01-05
106969	2021-01-21
107065	2018-12-19
107079	2010-11-01
107280	2016-12-08
107329	2022-09-20
107461	2021-12-20
107574	2015-10-19
107755	2015-06-20
108090	2017-01-09
108437	2022-11-16
108438	2010-05-25
108526	2017-08-29
108559	2020-03-05
108579	2022-09-29
108606	2022-09-20
108887	2014-07-24
108998	2021-04-04
109039	2021-12-14
109042	2004-09-22
109096	2016-10-06
109159	2018-10-30
109160	2017-02-09
109172	2017-05-05
109241	2021-04-20
109277	2014-09-30
109320	2019-11-27
109396	2020-11-10
109514	2023-02-14
109531	2000-09-05
109649	2022-04-08
109678	2023-05-01
109745	2014-11-18
109751	2022-07-13
109761	2019-06-22
109876	2003-09-01
109899	2022-01-05
109958	2004-07-19
110064	2014-09-11
110122	2021-06-09
110197	2021-06-30
110295	2009-03-01
110441	2022-11-16
110524	2017-05-16
110566	2023-03-14
110580	2023-06-28
110809	1994-02-24
110927	2015-08-07
111272	2017-01-24
111286	2006-05-19
111705	2016-08-09
111710	2022-05-09
112301	2002-04-03
112427	2018-06-20
112436	2003-03-07
112482	2019-10-09
112594	2010-09-24
112632	2019-11-06
112658	2019-12-09
112744	2015-05-20
112765	2021-06-24
113031	2023-11-03
113063	2002-12-16
113064	2011-09-12
113083	2016-11-23
113088	2020-01-19
113141	2014-04-18
79501	2016-10-04
79503	2016-12-02
79519	2006-01-03
79679	2013-06-28
79865	2017-01-17
80043	2017-03-15
80178	2012-04-24
80186	2000-05-24
80415	2012-04-06
80431	2011-12-21
80456	2018-02-16
80575	1998-08-25
80829	2016-10-25
80913	2017-05-23
80916	2013-09-16
80935	2015-01-21
80956	2011-03-30
81164	2016-11-01
81311	2016-10-08
81675	2017-11-26
81796	2017-02-07
81888	2017-07-17
81942	2014-11-17
82110	2008-03-25
82294	2011-07-13
82299	2016-09-23
82336	2013-07-25
82461	2014-10-15
82593	2006-12-05
82643	2016-08-09
82764	2016-10-14
82833	2020-04-30
82980	2019-07-31
83116	2015-07-27
83205	2016-11-14
83217	2016-11-15
83227	2016-10-08
83374	2009-07-16
83825	2017-09-13
83956	2013-10-23
84098	2014-08-15
84151	2005-06-14
84222	2009-05-08
84296	2018-01-18
84314	2018-02-15
84330	2016-07-21
84348	1994-02-24
84375	2017-05-23
84426	2008-02-03
84434	2017-09-13
84445	1994-02-24
84447	2008-09-03
84449	2007-08-20
84520	2013-07-14
84558	2014-10-27
84578	2016-05-24
84590	2017-06-09
84605	2005-02-23
84694	2017-05-16
84708	2013-07-14
84820	2007-07-11
84850	2017-06-16
84851	2018-03-21
84892	2017-05-16
84927	2014-10-27
84993	2012-07-19
85014	2009-03-31
85060	2016-05-13
85061	2015-06-25
85067	2017-09-30
85141	2014-01-27
85146	2011-10-18
85148	2015-06-09
85155	2013-05-14
85262	2005-10-18
85277	2013-08-21
85356	2014-04-29
85363	2015-01-15
85437	2014-10-15
85545	2018-04-26
85646	2017-01-26
85659	2013-11-08
85662	2011-11-04
85739	1998-01-27
85743	2013-03-22
85764	2014-02-21
85866	2016-10-25
85883	2017-03-01
85901	2012-05-12
86018	2013-09-16
86044	2014-10-15
86190	2015-11-13
86374	2006-06-15
86439	2014-05-13
86473	2016-02-10
86521	2019-03-13
86610	2017-08-29
86648	2004-05-31
86747	2017-12-18
86823	2003-01-14
87150	2011-03-16
87324	2017-11-20
87327	2016-08-09
87436	2011-07-13
87480	2018-06-11
87506	2019-08-30
87531	2017-09-12
87547	2003-07-08
87554	1996-02-28
87820	2017-01-19
88049	2015-12-16
88110	2018-09-18
88114	2009-08-19
88123	2012-05-17
88183	2015-09-17
88252	2017-01-19
88368	2014-04-29
88380	2015-12-15
88548	2005-06-15
88554	2018-08-03
88578	2011-07-13
88580	2008-02-15
88757	2018-12-01
88815	2002-12-28
88830	2019-01-11
88857	2011-06-29
88875	2018-03-16
88969	2018-11-12
88979	2002-12-28
88986	2008-03-21
89036	2006-06-06
89050	2017-08-29
89158	2010-05-06
89187	2019-02-05
89214	2015-06-09
89217	2016-04-07
89387	2017-05-16
89390	2018-11-29
89392	2014-08-25
89403	1999-11-27
89420	2018-10-30
89422	2017-08-29
89511	2014-06-11
89652	2016-03-04
89744	2006-06-16
89836	2010-10-27
89914	2004-06-22
89917	2015-12-22
89974	2012-11-17
90124	2019-04-03
90138	1994-02-24
90171	2016-09-21
90190	2017-07-26
90210	2017-05-16
90212	2017-11-13
90243	2018-01-24
90449	2003-01-23
90505	2015-08-07
90538	2013-04-24
90623	2013-04-24
90691	2014-12-17
90749	2018-06-11
90825	2019-02-21
90858	2014-10-15
90916	2009-07-04
90938	2019-10-31
90951	2016-07-25
90996	2020-04-06
91098	2017-05-18
91230	2017-12-12
91378	2019-03-28
91606	2017-08-21
91768	2018-11-01
91826	2017-05-04
91845	2017-10-10
91911	2019-10-09
91921	2017-09-06
91933	2011-11-17
92001	2018-05-24
92068	2004-08-27
92103	2019-10-29
92106	2018-10-11
92385	2022-01-01
92531	2005-06-14
92582	2019-10-09
92593	2004-01-30
92604	2014-01-27
92732	2017-09-29
92745	2005-07-20
92806	2015-12-04
92859	2017-05-25
92869	2019-11-15
92907	2019-06-22
92918	2022-02-25
92944	2002-12-28
93046	2004-05-13
93107	2016-02-10
93138	2019-12-17
93143	2016-04-08
93169	2014-11-17
93207	2012-10-23
93238	2020-01-10
93248	2017-02-28
93286	2007-03-30
93310	2018-09-18
93400	2019-10-09
93413	2011-11-10
93480	2019-11-05
93496	2011-04-11
93559	2020-01-31
93675	2019-11-05
93803	2017-09-10
93805	2010-08-19
93905	2014-10-15
93998	2020-02-05
94024	2006-01-03
94041	2011-12-01
94124	2020-03-10
94175	2015-03-11
94462	1999-07-21
94470	2020-04-02
94492	2018-12-06
94549	2019-10-09
94590	2008-07-02
94632	2015-08-07
94719	2020-04-21
94772	2020-03-06
94775	2011-06-20
94799	2003-12-01
94819	2019-11-27
94885	2017-11-20
94926	2018-05-10
94932	2005-09-12
94944	2020-09-24
94951	2007-05-11
95074	2018-12-13
95303	2009-11-06
95311	2004-06-22
95369	2017-06-09
95371	1998-01-22
95466	2020-05-29
95486	2019-11-27
95629	2016-06-14
95678	2020-04-21
95999	2010-10-26
96003	2009-07-16
96052	2019-11-01
96078	2020-03-19
96121	2002-10-02
96164	1998-08-23
96199	2020-08-06
96204	2015-01-27
96229	2015-08-07
96299	2019-11-05
96330	2003-07-25
96560	1998-09-04
96623	2020-05-11
96840	2020-12-17
96934	2018-07-09
97099	2010-01-29
97186	2019-03-28
97279	2019-03-07
97297	2019-01-28
97328	2014-10-27
97427	2019-08-19
97523	2020-09-05
97533	2013-07-14
97679	2019-11-15
97819	2008-02-15
98249	2017-05-26
98329	2020-12-03
98332	2019-06-10
98333	2011-09-24
98441	2020-06-24
98486	2019-10-09
98545	2017-06-22
98551	2020-04-08
98570	2011-07-16
98611	2001-10-05
98642	2021-01-13
98644	2014-10-15
98712	2017-09-01
98744	2021-01-13
98802	2019-11-27
98844	2019-11-27
99033	2009-07-16
99120	2017-05-16
99180	2019-11-27
99213	2020-04-13
99251	2004-05-18
99365	2018-03-14
99374	2016-11-07
99565	2017-01-20
99664	2002-12-16
99683	2021-04-21
99700	2019-12-05
99844	2020-05-11
99980	2018-12-01
18477	2013-09-26
18506	2009-01-28
18542	2012-03-28
18544	2011-05-15
18551	2011-04-07
18608	2013-07-08
18746	2013-04-22
18852	2013-07-08
18876	2012-02-22
19010	2011-12-30
19066	2013-07-30
19104	2013-08-21
19172	2013-07-30
19195	2013-04-20
19452	2012-01-14
19729	2013-05-09
19741	2013-05-09
19748	2010-08-24
19767	2014-05-11
19879	2013-09-21
19902	2014-05-29
19993	2011-06-11
20208	2010-01-31
20227	2010-04-24
20259	2011-10-10
20268	2011-06-23
20445	2012-11-26
20496	2014-05-29
