target,spearman,p_value_s,pearson,p_value_p
category,0.942857142857143,0.0048046647230320545,0.9962481263249269,2.1088427380474515e-05
symptom,0.9761904761904763,3.3143960262001043e-05,0.9693587110979118,7.027918541029219e-05
options,0.8999999999999998,0.03738607346849874,0.9882363996513135,0.0015288906850221056
